,1,2,4,Cost,RT
2007,1472.0,2624.0,1280.0,56.69777777777779,2162.3062222222215
2008,1472.0,2624.0,1472.0,60.16444444444445,2156.9147777777775
2009,1472.0,2624.0,1664.0,60.63222222222223,2065.939111111111
2010,1472.0,2624.0,1856.0,63.75222222222223,2033.9599999999996
2011,1472.0,2624.0,2048.0,66.88222222222224,2004.3163333333332
2012,1472.0,2624.0,2240.0,65.96000000000001,1959.5354444444442
2013,1472.0,2624.0,2432.0,73.13222222222224,1976.4698888888886
2014,1472.0,2624.0,2624.0,76.26222222222222,1975.2202222222222
2015,1472.0,2624.0,2816.0,84.47555555555556,2114.204888888889
2016,1472.0,2624.0,3008.0,77.07111111111112,1963.7507777777778
2017,1472.0,2816.0,128.0,48.91111111111112,7947.114888888891
2018,1472.0,2816.0,320.0,50.791111111111114,4123.496777777779
2019,1472.0,2816.0,512.0,53.11555555555556,3228.648333333333
2020,1472.0,2816.0,704.0,54.955555555555556,2771.4901111111103
2021,1472.0,2816.0,896.0,55.65666666666667,2465.905444444444
2022,1472.0,2816.0,1088.0,58.19555555555556,2356.750222222222
2023,1472.0,2816.0,1280.0,57.73777777777778,2161.8129999999996
2024,1472.0,2816.0,1472.0,61.204444444444455,2156.421555555555
2025,1472.0,2816.0,1664.0,61.67222222222223,2065.4458888888885
2026,1472.0,2816.0,1856.0,64.79222222222224,2033.4667777777777
2027,1472.0,2816.0,2048.0,67.92222222222222,2003.8231111111113
2028,1472.0,2816.0,2240.0,67.0,1959.0422222222219
2029,1472.0,2816.0,2432.0,74.17222222222223,1975.9766666666665
2030,1472.0,2816.0,2624.0,77.30222222222221,1974.7269999999999
2031,1472.0,2816.0,2816.0,85.51555555555557,2113.7116666666666
2032,1472.0,2816.0,3008.0,78.11111111111111,1963.2575555555554
2033,1472.0,3008.0,128.0,49.95444444444445,7943.929111111112
2034,1472.0,3008.0,320.0,51.83444444444444,4120.3110000000015
2035,1472.0,3008.0,512.0,54.15888888888889,3225.462555555556
2036,1472.0,3008.0,704.0,55.998888888888885,2768.304333333333
2037,1472.0,3008.0,896.0,56.7,2462.719666666667
2038,1472.0,3008.0,1088.0,59.238888888888894,2353.5644444444447
2039,1472.0,3008.0,1280.0,58.78111111111111,2158.627222222222
2040,1472.0,3008.0,1472.0,62.247777777777785,2153.2357777777775
