Function,Memory Size,Max Memory Used,Duration,Billed Duration,RequestId
f2,2880,60,204.43,300,61d47a72-b353-47d5-9bbb-cae5b5a504fa
f2,2880,60,203.18,300,1d4f5af0-eeb8-4513-81a2-72f7edea6d23
f2,2880,60,203.55,300,9be8c747-b56d-41d3-a8db-209a0a8b8d65
f2,2880,60,203.72,300,2f171834-7d3e-451c-abbe-1ac689a168fb
f2,2880,60,206.55,300,6aa30107-8f28-4ea0-8658-bc26b769c507
f2,2880,60,203.93,300,842a119d-c7b5-4c5d-b2b7-cd5288b0c73d
f2,2880,60,204.12,300,3ed65dc4-8ac7-4802-8673-7a6ebd7ed6a9
f2,2880,60,203.66,300,0faf2d9e-a93b-4d89-b0b2-da5e2770bcb6
f2,2880,60,203.82,300,e3a1af4b-eacc-4171-af87-2001a1507aea
f2,2880,60,201.73,300,3cc473d3-b69a-4508-9cf1-e907f6373a9b
f2,2880,60,204.79,300,4c617b6c-57d0-4c30-b617-bfe40e1bdf6d
f2,2880,60,204.49,300,1ac6c8dc-8dad-4876-8875-af9963a41877
f2,2880,60,202.98,300,5837cd02-25ff-4206-bab3-0547e07def02
f2,2880,60,208.59,300,835689b6-7732-4bdd-b5c3-9cf0984c2c15
