Function,Memory Size,Max Memory Used,Duration,Billed Duration,UTCTimestamp,RequestId
f1,1536,61,824.93,900,1580352888.0,ae9e3507-a764-4ca5-b057-5764d9a1a869
f1,1536,61,810.92,900,1580352898.0,328d2725-50f8-4585-adc7-a0846928776d
f1,1536,61,727.39,800,1580352908.0,c1c42e92-2bc4-4e49-9726-b473311cb69f
f1,1536,61,824.07,900,1580352918.0,9a84a1ae-34d9-4b7a-bb4c-91a8f2ec6b05
f1,1536,61,824.3,900,1580352929.0,4cdc8581-47ea-40a4-b9cc-9d04859c524e
f1,1536,61,816.2,900,1580352939.0,2f7dc834-7bb7-4881-981d-cb0e43d93fea
f1,1536,61,740.11,800,1580352949.0,63ef5ec2-bcca-4a8a-9c88-9fafa9c07e3e
f1,1536,61,817.75,900,1580352959.0,db981d15-d070-4fbb-9754-6b714aca13ab
f1,1536,61,827.9,900,1580352969.0,0047b501-f1b7-4dd9-9e8a-0a28226c0864
f1,1536,61,817.35,900,1580352979.0,670abf6c-258b-4e17-ab7d-e46d23046d22
f1,1536,61,825.1,900,1580352990.0,eb792b94-fa76-44f7-ac1b-1e408623f07d
f1,1536,61,726.36,800,1580353000.0,c9d72d94-e015-47fd-a30c-18e68dc672b9
f1,1536,61,756.49,800,1580353010.0,1e26c17e-dedc-4c81-a74c-3b141ac59161
f1,1536,61,733.58,800,1580353020.0,69a56553-78d8-481e-aab9-7c6a8fded626
f1,1536,61,819.05,900,1580353030.0,d2e1fad9-74d4-4d24-9958-57fd0aff310c
f1,1536,61,814.55,900,1580353041.0,a785f286-8c5b-435f-8ffe-2595c3bfbc42
f1,1536,61,731.01,800,1580353051.0,02815917-b3cd-47bf-a276-9169bb68d563
f1,1536,61,818.39,900,1580353061.0,2bcc7cf8-6245-493d-8dfd-d087fa0c82df
f1,1536,61,819.06,900,1580353071.0,389f0dd8-2936-4fb4-b4cd-05e7d8cce0b3
f1,1536,61,739.56,800,1580353081.0,5911abfc-7b1c-4fc3-9139-a9048e3c95ac
f1,1536,61,820.82,900,1580353092.0,1e8c6cec-527e-4121-969a-609cf3d8af6e
f1,1536,61,817.53,900,1580353102.0,63d820e4-be0f-4fde-99d5-c511e8534713
f1,1536,61,815.24,900,1580353112.0,cd746b49-27c9-42ee-b5fd-e6b53038bc8b
f1,1536,61,823.64,900,1580353122.0,453f9a10-d804-466a-8386-35ace633587d
f1,1536,61,818.64,900,1580353133.0,408fbad2-9211-459f-b53b-c2d2c1c76c29
f1,1536,61,824.52,900,1580353143.0,b1392e99-fe97-406d-a7a7-de8231abc5c9
f1,1536,61,822.53,900,1580353153.0,f76b1975-19a3-4fa0-8c46-c8b8a7915011
f1,1536,61,746.15,800,1580353163.0,11af8e7b-3903-4839-93e5-a0331b6a4bd1
f1,1536,61,820.88,900,1580353173.0,bf5a4007-e4d6-46d5-bb0d-a8f11521e791
f1,1536,61,825.66,900,1580353184.0,f6769f3f-1022-43a9-9eea-77f98acb05d7
f1,1536,61,727.14,800,1580353194.0,b4f24de2-6204-439f-8958-431ffa0e5dc5
f1,1536,61,753.36,800,1580353204.0,a7f07213-0e5c-4041-85fb-16ef862e3237
f1,1536,61,756.91,800,1580353215.0,6d58a309-e183-4c0c-ac5c-594ed56f4ffc
f1,1536,61,825.74,900,1580353225.0,0eb3f215-0ee2-47c9-b020-8d4f1225baa6
f1,1536,61,737.48,800,1580353235.0,c551c858-8337-4a1f-b3c7-00eb2ea80823
f1,1536,61,819.24,900,1580353245.0,6c55d4fb-d196-4c22-adf3-42c9ad611632
f1,1536,61,823.12,900,1580353255.0,709da74c-10ec-42fd-8d1c-a2376133e25d
f1,1536,61,816.23,900,1580353266.0,d6aa1105-f64d-4a09-b0a9-53d522379afb
f1,1536,61,739.82,800,1580353276.0,56d36580-db1b-4963-bf4d-8d269b2d200f
f1,1536,61,814.09,900,1580353286.0,17d2105e-27a6-4091-9355-3583c76ec61b
f1,1536,61,814.71,900,1580353296.0,2efaae9f-f4c0-4115-904e-d521d4dd50f7
f1,1536,61,733.01,800,1580353306.0,7607df28-d8db-4170-8b0f-8285d17ff511
f1,1536,61,810.83,900,1580353317.0,8e46a094-2842-40f4-a856-364b821a28fd
f1,1536,61,818.71,900,1580353327.0,2077f593-7770-44db-94fd-64b5d987e406
f1,1536,61,811.88,900,1580353337.0,8582cb20-0d74-4ab1-9516-ce5cf3608db8
f1,1536,61,737.37,800,1580353347.0,8c654060-b09c-4b0f-b15f-f716996e62da
f1,1536,61,731.5,800,1580353357.0,f3b664d4-8756-4139-92b7-6a2c9be50294
f1,1536,61,820.34,900,1580353368.0,14620bf1-d287-402f-b65d-1345b1c0e719
f1,1536,61,825.18,900,1580353378.0,15525581-36cb-449e-a350-a305e8301d2b
f1,1536,61,828.33,900,1580353388.0,c157a139-c4c6-4c26-a028-9b1c99641e09
f1,1536,61,738.59,800,1580353398.0,60c90911-b9ca-467a-9925-a406b5c21538
f1,1536,61,818.74,900,1580353408.0,9419c81e-3332-45b3-bc68-6f2b669a4e09
f1,1536,61,819.57,900,1580353418.0,4f4571c1-5e84-43ba-8827-8d62322251c2
f1,1536,61,736.36,800,1580353428.0,9cb07e4e-df13-49cd-af08-b520b4121612
f1,1536,61,817.61,900,1580353439.0,a844956e-ec28-4d12-8f93-d02e25224fe0
f1,1536,61,729.38,800,1580353449.0,95fc87e0-0f1c-48e2-bf52-39255643aa5a
f1,1536,61,821.94,900,1580353460.0,bacf2d25-fdbf-4c26-9c01-ff3869ba0c13
f1,1536,61,713.4,800,1580353470.0,b4d085ae-ab80-4f93-84ab-4d7dbe73d663
f1,1536,61,717.59,800,1580353480.0,0bf35ca3-e821-4b3b-b6d6-93132b6388d7
f1,1536,61,728.46,800,1580353490.0,584de1f4-3d10-4262-bba0-bd68afbfb82f
f1,1536,61,815.86,900,1580353500.0,df796c57-6b6b-43c5-9b66-74196253c1ef
f1,1536,61,812.71,900,1580353510.0,a230f5ae-de79-4947-bc58-ab7d9fbac118
f1,1536,61,821.52,900,1580353521.0,60159593-424a-4efe-8b4d-ef09fe64fcd2
f1,1536,61,728.52,800,1580353531.0,81a0b87c-c7a5-48d4-82aa-356ff2d0b5ca
f1,1536,61,811.05,900,1580353541.0,abb4da43-e91c-4201-8561-2ee421b062a1
f1,1536,61,811.33,900,1580353551.0,d3aa02ab-f906-40fc-8ef5-a4a1e48318c7
f1,1536,61,814.6,900,1580353561.0,0ddc0e0f-190f-4d25-be3e-9b85246e34b6
f1,1536,61,744.99,800,1580353572.0,db8e0b14-8f07-436c-a81f-7afe5b2905fa
f1,1536,61,820.8,900,1580353582.0,5d9b841a-0ef7-4885-aa73-1cc122a485b4
f1,1536,61,813.49,900,1580353592.0,1f41beb2-d711-41e9-9a48-ce43dc274a2c
f1,1536,61,749.14,800,1580353602.0,90288155-403b-4f56-8910-fcbe7c5b4723
f1,1536,61,820.14,900,1580353612.0,11bb1a17-2d6e-48e3-83af-6c6fd3c22986
f1,1536,61,816.09,900,1580353623.0,e7d4fe56-868f-4d3b-8152-5f32072be00e
f1,1536,61,824.07,900,1580353633.0,1468a5d3-523f-47a3-9463-2ac8865ad3c1
f1,1536,61,726.1,800,1580353643.0,f3579f8b-404a-438b-b2db-fc519445e5bc
f1,1536,61,819.54,900,1580353653.0,d122826f-ba1a-498c-90e1-b02f6a7ee4bd
f1,1536,61,821.97,900,1580353663.0,9146d30e-d3a9-40bc-be09-72a64e5d34b6
f1,1536,61,720.74,800,1580353674.0,8d7ba9da-bdc2-490c-8775-d0594cb0d932
f1,1536,61,730.08,800,1580353684.0,2c2f1fc9-2d13-4a6f-83de-0fa9b980dec4
f1,1536,61,820.24,900,1580353694.0,96728967-b3f2-4789-9d7b-1986ed63af0f
f1,1536,61,723.77,800,1580353704.0,55856b8e-6761-4321-bcac-bf346d7a9168
f1,1536,61,820.5,900,1580353714.0,b3528adb-a865-47d2-944f-b54e92aafc22
f1,1536,61,728.76,800,1580353725.0,76e697e1-b4f3-45ac-af83-6ff2aac7bb56
f1,1536,61,810.07,900,1580353735.0,54bf7c71-ed72-4f5a-b1df-efe8de23475d
f1,1536,61,733.78,800,1580353745.0,26b47054-24ed-464a-b4b0-1ecb63a40b18
f1,1536,61,818.27,900,1580353755.0,9a2e8633-07da-414e-bd3d-e9d06ba31a8b
f1,1536,61,736.13,800,1580353765.0,8f7d1d7e-b59c-4e7c-a250-8633919512c7
f1,1536,61,814.85,900,1580353776.0,f1a4338b-9f6c-4f1a-aa4e-27f35d4c38e8
f1,1536,61,734.63,800,1580353786.0,24cac1c3-0524-42a3-9cf5-24d51990a5d9
f1,1536,61,725.64,800,1580353796.0,37865e5f-10d9-4136-b0c7-5f78a8287921
f1,1536,61,823.11,900,1580353806.0,b5543481-5568-4230-bbe7-9f91a315e3fe
f1,1536,61,819.62,900,1580353817.0,978d4294-d772-4773-9309-76e2e8ce1307
f1,1536,61,824.29,900,1580353827.0,689df239-4378-42a8-8472-e9c3e99df9ba
f1,1536,61,809.76,900,1580353837.0,399b7998-fcf7-4a98-9dcb-8c01cfb38e68
f1,1536,61,823.53,900,1580353847.0,1c31d3c3-0253-4459-afb0-db16382f0bb6
f1,1536,61,722.52,800,1580353857.0,d4242c3e-2905-4d08-a472-93a348e122da
f1,1536,61,732.39,800,1580353867.0,2f584d01-7df1-4332-a81e-8a1e4cc5f50c
f1,1536,61,712.57,800,1580353877.0,8419289b-73ff-4998-9d7f-48c0b622c61a
f1,1536,61,728.44,800,1580353888.0,4e720b33-8e93-412c-9847-983000087153
f1,1536,61,724.49,800,1580353898.0,a7df4838-bde9-43e9-8e64-ea567d1aa1c7
f1,1536,61,720.23,800,1580353908.0,6949358b-ad0d-41ce-9bca-87bc2fa9d483
f1,1536,61,719.82,800,1580353918.0,aedf7bb5-f6dd-45fc-a629-6dd589dd2cc2
f1,1536,61,727.65,800,1580353928.0,05c3001a-8c29-4d17-ab3f-52e2b5d9527c
f1,1536,61,717.91,800,1580353938.0,b1453bbb-5b45-42c0-9fee-65fea278a361
f1,1536,61,726.37,800,1580353949.0,0eceadb9-e98d-441b-997e-6ab74e22ba41
f1,1536,61,727.08,800,1580353959.0,3d297e9c-938a-4ab4-9545-c0e79c00fbe1
f1,1536,61,722.32,800,1580353969.0,0fa3615f-4007-419e-95ca-fcd5027af9f1
f1,1536,61,718.7,800,1580353979.0,e733cbc5-1a82-44c2-99a2-73bd428a138e
f1,1536,61,718.28,800,1580353989.0,baf612b6-a6b7-430d-a0a9-a6d47707359b
f1,1536,61,716.78,800,1580354000.0,d143ae8d-645b-4255-a746-252feafa9063
f1,1536,61,718.65,800,1580354010.0,aa4854c6-c7b8-4086-b4cc-f97bdc345308
f1,1536,61,710.65,800,1580354020.0,c74074b1-6fcf-4299-92c0-52216826e0e1
f1,1536,61,744.32,800,1580354030.0,21f94843-5d27-43ff-9fbb-861ac99125f5
f1,1536,61,724.1,800,1580354040.0,374ee6bd-b755-4530-8537-8ab208c30120
f1,1536,61,739.33,800,1580354051.0,5c91a182-65cd-4fc7-a5e5-5aba58f00f69
f1,1536,61,728.36,800,1580354061.0,76c8405b-f02f-4579-8b28-c6d8bf05aa1e
f1,1536,61,728.26,800,1580354071.0,72d12848-4e61-4577-a110-d9efd371d905
f1,1536,61,717.71,800,1580354081.0,049bace0-9220-41ff-bd1b-4a25876269d9
f1,1536,61,732.12,800,1580354091.0,9b08162d-4591-4c12-b4a5-2376f3109e20
f1,1536,61,734.18,800,1580354102.0,dd480ef2-d145-45e5-9d4b-c9e8e793f63f
f1,1536,61,727.53,800,1580354112.0,4cfd9726-94b6-4664-afc5-a4322afdfc58
f1,1536,61,736.77,800,1580354122.0,8932ae60-28fc-4f2e-ba5d-60dc6aa8cc32
f1,1536,61,735.21,800,1580354132.0,8e4ee273-7300-40a4-925b-3f06e13f0d3a
f1,1536,61,713.16,800,1580354142.0,d5ea128b-35ef-4041-8f85-9e9264143907
f1,1536,61,735.69,800,1580354152.0,cc192158-33a9-460b-9ad7-6c936f66369d
f1,1536,61,713.11,800,1580354163.0,888cb10a-8f77-4b25-93b3-c1e0d751f3a0
f1,1536,61,629.14,700,1580354173.0,1763569f-f7d8-4470-b401-7a2bf03761f2
f1,1536,61,722.05,800,1580354183.0,ecb9b66e-bac5-4538-b8c7-7de6ed1b6c45
f1,1536,61,723.05,800,1580354193.0,091cad60-d315-44a9-843e-e617dd262712
f1,1536,61,726.64,800,1580354203.0,4dc563fc-4725-4bb3-b0fc-20ee9693de42
f1,1536,61,719.59,800,1580354214.0,c2c1e084-2208-4ec0-8154-7ffdfbbf9408
f1,1536,61,719.57,800,1580354224.0,b34585fe-bd0f-4a5b-a913-6b4cbd1abbbc
f1,1536,61,713.49,800,1580354234.0,0a6e3d9d-72ac-49ff-ac47-ba3dea4632df
f1,1536,61,722.1,800,1580354244.0,3e3dbf2b-cebd-4661-86b8-108be9d5361a
f1,1536,61,730.68,800,1580354254.0,ab9264ab-807d-4d2e-87bb-f19b9d251725
f1,1536,61,734.43,800,1580354264.0,5c2fec63-ea9a-422b-9f35-2b85d20ed840
